time,value
2024-09-02T14:57:24.304567442Z,{"lat":-37.867606292792516,"lon":145.21497695207998}
2024-09-02T14:57:25.321093655Z,{"lat":-37.86758483298833,"lon":145.21503277460016}
2024-09-02T14:57:26.475937882Z,{"lat":-37.86756349992378,"lon":145.21502489180335}
2024-09-02T14:57:27.371814801Z,{"lat":-37.86754420171803,"lon":145.21496050843132}
2024-09-02T14:57:28.587864405Z,{"lat":-37.86754121481757,"lon":145.21496471831702}
2024-09-02T14:57:29.538794412Z,{"lat":-37.867538315601045,"lon":145.21496904093868}
2024-09-02T14:57:30.482716796Z,{"lat":-37.86753547295347,"lon":145.21497343572372}
2024-09-02T14:57:31.744262104Z,{"lat":-37.867532658742384,"lon":145.21497791681455}
2024-09-02T14:57:32.535996653Z,{"lat":-37.867532658742384,"lon":145.21497791681455}
2024-09-02T14:57:33.534541205Z,{"lat":-37.86752713685959,"lon":145.2149870268744}
2024-09-02T14:57:34.527124116Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:35.521498245Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:36.523593894Z,{"lat":-37.86752079151378,"lon":145.21485004587578}
2024-09-02T14:57:37.504682433Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:38.505798982Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:39.593919913Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:40.527944223Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:41.551803237Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:42.60076654Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:43.657864979Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:44.670816092Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:45.644744826Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:46.669710404Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:47.661672509Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:48.656926353Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:49.62969446Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:50.70708164Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
2024-09-02T14:57:51.69307396Z,{"lat":-37.86752079151386,"lon":145.21485004587583}
