Timestamp,X,Y,Z
20240728014644,0.04,0.93,0.25
20240728014645,0.05,0.94,0.19
20240728014646,0.02,0.83,0.49
20240728014647,0.03,0.85,0.47
20240728014649,0.09,0.93,0.18
20240728014650,0.05,0.95,0.16
20240728014651,0.03,0.85,0.48
20240728014652,0.03,0.84,0.48
20240728014653,0.05,0.95,0.19
20240728014654,0.03,0.95,0.12
20240728014655,0.05,0.94,0.19
20240728014656,0.05,0.93,0.22
20240728014657,0.03,0.88,0.40
20240728014658,0.03,0.85,0.46
20240728014659,0.05,0.94,0.17
20240728014700,0.05,0.95,0.16
20240728014701,0.05,0.94,0.18
20240728014702,0.05,0.95,0.15
20240728014703,0.05,0.95,0.15
20240728014704,0.05,0.95,0.15
20240728014705,0.05,0.95,0.15
20240728014706,0.05,0.95,0.15
20240728014707,0.05,0.95,0.15
20240728014708,0.05,0.95,0.15
20240728014709,0.05,0.95,0.15
20240728014710,0.05,0.95,0.15
20240728014711,0.05,0.95,0.15
20240728014712,0.04,0.93,0.22
